BusNumber,StopNameZh,StopLat,StopLon,MRT_Train
270,中華科技大學(正門),25.033828,121.609765,
270,中華科技大學,25.033524,121.611187,
270,軍人公墓,25.033296,121.612194,
270,凌雲站,25.034612,121.614489,
270,九如里二,25.034863,121.61612,
270,凌雲五村,25.035872,121.616952,
270,九如里一,25.037701,121.617024,
270,胡適公園,25.040597,121.617633,
270,中研院,25.043422,121.616561,
270,中研新村,25.045074,121.615639,
270,圓拱橋,25.047462,121.615728,
270,南港水廠,25.049379,121.615949,
270,誠正國中,25.051546,121.616031,
270,國家文官學院,25.053113,121.614557,
270,台北生技園區,25.052653,121.610465,
270,捷運南港站,25.05226,121.607245,V
270,南港機廠,25.051578,121.601008,
270,捷運昆陽站,25.050346,121.593165,V
270,陸軍後勤指揮部,25.04983,121.59077,
270,國華新村,25.049085,121.587843,
270,聯合醫院忠孝院區,25.047521,121.58423,
270,捷運後山埤站(忠孝),25.044573,121.582072,V
270,春光公園,25.042632,121.580447,
270,永春里(忠孝),25.041172,121.578411,
270,捷運永春站(忠孝),25.040967,121.575743,V
270,市立工農,25.04109,121.572439,
270,消防局(忠孝),25.04115,121.56996,
270,捷運市政府站,25.04124,121.56629,V
270,聯合報,25.041327,121.56309,
270,國父紀念館,25.037685,121.560926,
270,仁愛光復路口,25.0377,121.55781,
270,仁愛延吉街口,25.037774,121.555779,
270,仁愛國泰醫院,25.037829,121.553216,
270,仁愛安和路口,25.037852,121.551696,
270,仁愛敦化路口(圓環),25.038013,121.547289,
270,仁愛復興路口(福華飯店),25.03806,121.544071,
270,仁愛建國路口一,25.038168,121.539428,
270,幸安國小,25.038239,121.534338,
270,仁愛新生路口,25.038245,121.533133,
270,仁愛臨沂街口,25.03834,121.52952,
270,仁愛杭州路口,25.038352,121.525455,
270,仁愛林森路口,25.038913,121.521155,
270,仁愛中山路口,25.039262,121.518367,
270,一女中(貴陽),25.038656,121.514499,
270,東吳大學城中校區,25.03918,121.50941,
270,小南門(和平院區),25.03723,121.507745,
270,捷運西門站,25.040946,121.508219,V
281,南寮(忠三街口),25.079068,121.623553,
281,康湖隧道口(白馬山莊),25.077316,121.622814,
281,五分埤,25.076202,121.621188,
281,東湖國中,25.072645,121.619351,
281,康樂街,25.071123,121.619135,
281,東湖社區,25.06923,121.618478,
281,東湖國小,25.068177,121.61668,
281,五分社區,25.068763,121.614308,
281,捷運東湖站(南湖高中),25.067493,121.611502,V
281,南港軟體園區北站,25.059687,121.614205,V
281,南港軟體園區南站,25.05645,121.613945,
281,南港,25.055394,121.613659,
281,南港高工(南港路),25.054968,121.609776,
281,南港行政中心,25.054411,121.606693,V
281,台肥新村,25.053827,121.603502,
281,南港輪胎,25.05341,121.600632,
281,東明里/臺北流行音樂中心,25.0538,121.59858,
281,土地公廟,25.05449,121.59551,
281,南港高中,25.05302,121.59498,
